id	pmid	given_author	first_author	title	source	year
		Abramovitch		Internuclear cyclisation. Part VIII. Naphth[3:2:1-cd]oxindoles,		
		Abramovitch		A Novel Synthesis of a Cyclic Hydroxamic Acid Involving a Molecular Rearrangement,		
		Abramovitch		A Novel Synthesis of a Cyclic Hydroxamic Acid Involving a Molecular Rearrangement,		
	1331337	Akbasak	Akbasak A	Oncogenes: cause or consequence in the development of glial tumors.	J Neurol Sci	1992
	1331337	Akbasak	Akbasak A	Oncogenes: cause or consequence in the development of glial tumors.	J Neurol Sci	1992
	9706372	Andreani	Andreani A	In vivo cardiotonic activity of pyridylmethylene-2-indolinones.	Arzneimittelforschung	1998
	9706372	Andreani	Andreani A	In vivo cardiotonic activity of pyridylmethylene-2-indolinones.	Arzneimittelforschung	1998
	9042225	Andreani		Potential Antitumor Agents. 25[1]. Synthesis and Cytotoxic Activity of 3-(2-Chloro-3-Indolymethylene)1,3-Dihydroindol-2-Ones,		
	9042225	Andreani		Potential Antitumor Agents. 25[1]. Synthesis and Cytotoxic Activity of 3-(2-Chloro-3-Indolymethylene)1,3-Dihydroindol-2-Ones,		
		Andreani		Synthesis and cardiotonic activity of 2-indolinones bearing pyridyl groups,		
		Andreani		Synthesis and cardiotonic activity of 2-indolinones bearing pyridyl groups,		
	16107161	Andreani		Synthesis and cardiotonic activity of 2-indolinones,		
	16107161	Andreani		Synthesis and cardiotonic activity of 2-indolinones,		
	9858916	Andreani		Synthesis and cardiotonic activity of pyridylmethylene-2-indolinones,		
	9858916	Andreani		Synthesis and cardiotonic activity of pyridylmethylene-2-indolinones,		
		Andreani		Synthesis and potential coanthracyclinic activity of substituted 3-(5-imidazo[2,1-b]thiazolylmethylene)-2-indolinones,		
		Andreani		Synthesis and potential coanthracyclinic activity of substituted 3-(5-imidazo[2,1-b]thiazolylmethylene)-2-indolinones,		
		Andreani		Synthesis of lactams with potential cardiotonic activity,		
	2553250	Arteaga		Blockade of the Type I Somatomedin Receptor Inhibits Growth of Human Breast Cancer Cells in Athymic Mice,		
	7935391	Arvidsson	Arvidsson AK	Tyr-716 in the platelet-derived growth factor beta-receptor kinase insert is involved in GRB2 binding and Ras activation.	Mol Cell Biol	1994
	7935391	Arvidsson	Arvidsson AK	Tyr-716 in the platelet-derived growth factor beta-receptor kinase insert is involved in GRB2 binding and Ras activation.	Mol Cell Biol	1994
		Autrey		The Synthesis and Sterochemistry of Some Isatylideneacetic Acid Derivatives,		
		Autrey		The Synthesis and Sterochemistry of Some Isatylideneacetic Acid Derivatives,		
	5793179	Bahner	Bahner CT	9-(4-Aminobenzylidene)fluorenes.	J Med Chem	1969
	5793177	Bahner	Bahner CT	Benzylideneindenes with oxygen attached to the indene ring.	J Med Chem	1969
		Bamfield		Diels-Alder Reactions of Oxindolylideneacetone,		
		Bamfield		Diels-Alder Reactions of Oxindolylideneacetone,		
		Barbier,		Synthesis of Isobrassilexin, A Biologically Active Isomer of Brassilexin, a Cruciferae Phytoalexin,		
		Barbier,		Synthesis of Isobrassilexin, A Biologically Active Isomer of Brassilexin, a Cruciferae Phytoalexin,		
	8001140	Baserga,	Baserga R	Oncogenes and the strategy of growth factors.	Cell	1994
	8001140	Baserga,	Baserga R	Oncogenes and the strategy of growth factors.	Cell	1994
	24354797	Baserga,		The Insulin-like Growth Factor I Receptor: A Key to Tumor Growth?		
	28180262	Benzies,		2-Formyl-3-Methoxymethylindole, 3-Ethoxymethyl-2-Formylindoline and 2-Formyl-3-Methylindole,		
	28180262	Benzies,		2-Formyl-3-Methoxymethylindole, 3-Ethoxymethyl-2-Formylindoline and 2-Formyl-3-Methylindole,		
		Blake		Anistropic Effects in alpha-Substituted Methoxystilbenes,		
		Blake		Anistropic Effects in α-Substituted Methoxystilbenes,		
	7694720	Bolen	Tsygankov A	The Src family of tyrosine protein kinases in hemopoietic signal transduction.	Stem Cells	1993
	18432706	Bolen,		Nonreceptor tyrosine protein kinases,		
	2993863	Bonner	Bonner TI	Structure and biological activity of human homologs of the raf/mil oncogene.	Mol Cell Biol	1985
