id	pmid	given_author	first_author	title	source	year
		Abramovitch		Internuclear cyclisation. Part VIII. Naphth[3:2:1-cd]oxindoles,		
		Abramovitch		A Novel Synthesis of a Cyclic Hydroxamic Acid Involving a Molecular Rearrangement,		
	1331337	Akbasak	Akbasak A	Oncogenes: cause or consequence in the development of glial tumors.	J Neurol Sci	1992
	9706372	Andreani	Andreani A	In vivo cardiotonic activity of pyridylmethylene-2-indolinones.	Arzneimittelforschung	1998
	9042225	Andreani		Potential Antitumor Agents. 25[1]. Synthesis and Cytotoxic Activity of 3-(2-Chloro-3-Indolymethylene)1,3-Dihydroindol-2-Ones,		
		Andreani		Synthesis and cardiotonic activity of 2-indolinones bearing pyridyl groups,		
	16107161	Andreani		Synthesis and cardiotonic activity of 2-indolinones,		
	16107161	Andreani		Synthesis and cardiotonic activity of 2-indolinones,		
	9858916	Andreani		Synthesis and cardiotonic activity of pyridylmethylene-2-indolinones,		
		Andreani		Synthesis and potential coanthracyclinic activity of substituted 3-(5-imidazo[2,1-b]thiazolylmethylene)-2-Indolinones,		
		Andreani		Synthesis of lactams with potential cardiotonic activity,		
	2553250	Arteaga		Blockade of the Type I Somatomedin Receptor Inhibits Growth of Human Breast Cancer Cells in Athymic Mice,		
	7935391	Arvidsson	Arvidsson AK	Tyr-716 in the platelet-derived growth factor beta-receptor kinase insert is involved in GRB2 binding and Ras activation.	Mol Cell Biol	1994
		Autrey		The Synthesis and Sterochemistry of Some Isatylideneacetic Acid Derivatives,		
	5793178	Bahner	Bahner CT	6-Dimethylaminochrysene and other analogs of 4-(4-dimethylamino)stilbene.	J Med Chem	1969
	5793177	Bahner	Bahner CT	Benzylideneindenes with oxygen attached to the indene ring.	J Med Chem	1969
		Bamfield		Diels-Alder Reactions of Oxindolylideneacetone,		
		Barbier,		Synthesis of Isobrassilexin, A Biologically Active Isomer of Brassilexin, a Cruciferae Phytoalexin,		
	8001140	Baserga,	Baserga R	Oncogenes and the strategy of growth factors.	Cell	1994
	24354797	Baserga,		The Insulin-like Growth Factor I Receptor: A Key to Tumor Growth?		
	28180262	Benzies,		2-Formyl-3-Methoxymethylindole, 3-Ethoxymethyl-2-Formylindoline and 2-Formyl-3-Methylindole,		
		Blake		Anisotropic Effects in alpha-Substituted Methoxystilbenes,		
	7694720	Bolen	Tsygankov A	The Src family of tyrosine protein kinases in hemopoietic signal transduction.	Stem Cells	1993
	18432706	Bolen,		Nonreceptor tyrosine protein kinases,		
	2993863	Bonner	Bonner TI	Structure and biological activity of human homologs of the raf/mil oncogene.	Mol Cell Biol	1985
		Borsche		Über vielkernige kondensierte Systeme mit heterocyclischen Ringen. XIII.,		
	8343210	Buzzetti	Buzzetti F	Cinnamamide analogs as inhibitors of protein tyrosine kinases.	Farmaco	1993
	12689669	Cance		Novel Protein Kinases Expressed in Human Breast Cancer,		
		Canoira		Synthesis of Oxindole Derivatives from N-Alkenyl-o-Chloroanilides with Zero-Valent Nickel Complex,		
	9025911	Carpenedo	Carpenedo R	Identification and measurement of oxindole (2-indolinone) in the mammalian brain and other rat organs.	Anal Biochem	1997
	25275588	Chao,		Growth Factor Signaling: Where Is the Specificity?		
		Chatten		Substituted Oxindoles. Part VI. Polarographic Reduction of Substituted trans-3-Benzylideneindol-2(3H)-ones,		
		Chatterjee,		Acylation of Indoles by Duff Reaction and Vilsmeier-Haack Formylation and Conformation of N-Formylindoles,		
	9434891	Chen	Chen YH	Effects of 3,3-dipyridylmethyl-1-phenyl-2-indolinone on gamma-aminobutyric acid elicited chloride current of snail central neuron.	Chin J Physiol	1997
	17656670	Claesson-Welsh,		Signal Transduction by the PDGF Receptors,		
		Coda		(Z)- and (E)-Arylidene-1,3-dihydroindol-2-ones: Configuration, Conformation and Infrared Carbonyl Stretching Frequencies,		
		Coda		3-(4-methylbenzilidene)-1,3-dihydroindol-2-one,		
		Coppola		A Fuunctional Insulin-Like Growth Factor I Receptor Is Required for the Mitogenic and Transforming Activities of the Epidermal Growth Factor Receptor,		
